order,id,priority,source,frequency,category,question,answer,formula,followup,pitfalls,variants
111,c008,B,past,1,数学・線形代数,デルタ関数とは何ですか？,ディラックのデルタ関数は、x=0以外で0、全区間での積分が1となる一般化関数です。積分の中で値を取り出す性質をもち、理想的なインパルスを表します。,"∫δ(x)dx=1,  ∫f(x)δ(x-a)dx=f(a)",,,
112,c040,B,past,1,材料力学・設計,変位の単位は何ですか？,変位は位置の変化なので長さの次元をもち、SI単位はメートルです。,,,,
113,c046,B,past,1,材料力学・設計,公差という概念はなぜ必要ですか？,加工には必ずばらつきがあるため、機能・組立性・互換性を満たす許容範囲を定める必要があります。公差を厳しくしすぎると製造コストが上がります。,,,,
114,c027,B,past,1,機械力学・振動,慣性主軸とは何ですか？,慣性テンソルの固有ベクトル方向です。この軸に座標を取ると慣性乗積が0になり、慣性テンソルが対角化されます。,,,,
115,c029,B,past,1,機械力学・振動,回転モーメント、すなわちトルクとは何ですか？,力が物体を回転させる作用の大きさで、基準点から作用点への位置ベクトルrと力Fの外積です。角運動量の時間変化にも等しいです。,τ=r×F=dL/dt,,,
116,c030,B,past,1,機械力学・振動,ジャイロモーメントとは何ですか？,回転体の角運動量の向きを変えるときに生じるモーメントです。高速回転するロータの軸を歳差角速度Ωで回すと、概ね τ=Ω×L で表されます。,τ=dL/dt=Ω×L,,,
117,c089,B,past,1,流体力学,カルマン渦とは何ですか？,円柱などの鈍い物体の後流で、左右交互に周期的に放出される渦列です。放出周波数はストローハル数で整理されます。,St=fD/U,,,
118,c096,B,past,1,熱力学・伝熱,熱力学の重要な要素を2つ挙げて説明してください。,質問が広いため、例えば『状態量と熱力学法則』と答えます。状態量には内部エネルギー・エンタルピー・エントロピーなどがあり、第一法則はエネルギー保存、第二法則は過程の方向性とエントロピー増大を表します。,,,元の質問文が曖昧なので、面接では『第一・第二法則でしょうか』と確認してから答えても構いません。,
119,c019,B,past,1,統計,t検定とは何ですか？,母分散が未知の状況で、平均の差が偶然のばらつきで説明できるかをt分布に基づいて検定する方法です。1標本、対応あり、独立2標本などがあります。,,データの対応関係、正規性、等分散性などに応じて検定法を選びます。,,
120,c020,B,past,1,統計,統計はどのようなときに使いますか？,実験や観測データのばらつきを定量化し、母集団の性質を推定したり、条件間の差や関係が偶然かを判断したりするときに使います。,,,,
121,c118,B,past,1,自分の経験,数値解析のプログラミング経験を説明してください。,連立方程式、常微分方程式、最適化、有限要素法、信号処理、統計解析のうち実際に行ったものを、アルゴリズム・データ・検証方法とともに説明します。,,,統計解析だけを挙げる場合も、数値計算として何を実装・検証したかを具体化します。,
122,c080,B,past,1,計測・信号処理,量子化分解能とビット数の関係を説明してください。,nビットのAD変換では通常2ⁿ段階で表現します。入力範囲をV_FSとすると量子化幅は概ね V_FS/2ⁿ で、ビット数が1増えると幅は半分になります。,"段階数=2ⁿ,  Δ≈V_FS/2ⁿ",,,量子化能率とは？
123,c082,B,past,1,計測・信号処理,『計測の原理の応用』ではどのような内容を説明できますか？,センサによる物理量の電気信号化、増幅・フィルタリング、AD変換、標本化・量子化、雑音低減、校正、不確かさ評価など、測定系全体の原理を説明します。,,自身の授業・実験に合わせて、具体例を1つ準備してください。,,
124,c137,B,past,1,計測・信号処理,量子化効率とは何ですか？,文脈により定義が異なりますが、量子化後の信号品質を量子化雑音との比で表す意味で使われることがあります。面接では用語の定義を確認し、量子化幅・量子化誤差・信号対量子化雑音比を説明します。,SQNR=P_signal/P_quantization-noise,,授業固有の用語である可能性があるため、断定せず定義を確認します。,
125,c133,B,added,1,HI・触覚・VR,速順応型と遅順応型受容器の違いは何ですか？,速順応型は刺激の開始・終了や変化に強く応答し、振動や滑り検出に向きます。遅順応型は刺激が続く間も応答し、持続圧や形状、皮膚伸展を符号化します。,,,,
126,c132,B,added,1,ロボティクス,オイラー角とクォータニオンの違いは何ですか？,オイラー角は3変数で直感的ですが回転順序依存とジンバルロックがあります。単位クォータニオンは4変数に制約をもち、特異性がなく補間に向きます。,,,,
127,c128,B,added,1,流体力学,ストローハル数とは何ですか？,非定常な渦放出などの代表周波数を整理する無次元数です。,St=fL/U,,,
128,c130,B,added,1,熱力学・伝熱,エントロピーとは何ですか？,可逆過程で微小な熱δQ_revを温度Tで割った変化量dS=δQ_rev/Tで定義される状態量です。孤立系ではエントロピーは減少しません。,"dS=δQ_rev/T,  ΔS_isolated≥0",,,
129,c135,B,added,1,統計,相関と因果の違いは何ですか？,相関は2変数が共に変化する統計的関係、因果は一方の操作が他方の変化を生む関係です。交絡や逆因果があるため、相関だけでは因果を示せません。,,,,
130,c126,B,added,1,計測・信号処理,計測における精度と分解能の違いは何ですか？,精度は測定値が真値にどれだけ近いか、分解能は識別できる最小変化量です。分解能が高くても校正誤差が大きければ精度は高くありません。,,,,
131,c127,B,added,1,計測・信号処理,センサの校正とは何ですか？,既知の標準量を入力し、センサ出力との対応関係を求め、感度・オフセット・非線形性などを補正することです。,,,,
132,c138,B,added,0,FEM・数値解析,有限要素法におけるヤコビ行列は何に使いますか？,基準要素の局所座標と実要素の物理座標の写像に使います。微分や積分を座標変換するとき、ヤコビ行列とその行列式が現れます。,"dΩ=|det J| dξ,  ∇_x=N_{,ξ}J⁻¹",,,
133,c092,B,added,0,流体力学,非圧縮性流体の連続の式は何ですか？,質量保存則から速度場の発散が0になります。,∇·u=0,,,
134,c110,C,past,1,情報・電子・物理,関数型言語とは何ですか？,計算を関数の評価として記述し、状態変更や副作用を抑えるプログラミング言語・パラダイムです。高階関数、再帰、不変データなどをよく用います。,,,,
135,c112,C,past,1,情報・電子・物理,機械学習とは何ですか？,データから規則や予測モデルを学習し、明示的に全てのルールを書かずに分類・回帰・生成・制御などを行う手法です。,,,,
136,c113,C,past,1,情報・電子・物理,プラズモンとは何ですか？,金属などの自由電子集団の密度振動を量子化した準粒子です。表面に局在するものは表面プラズモンと呼ばれ、光と結合して表面プラズモンポラリトンを形成します。,,,,
137,c114,C,past,1,情報・電子・物理,量子性とは何ですか？,重ね合わせ、量子化、波動粒子二重性、不確定性、もつれなど、古典力学では説明できない量子系特有の性質を指します。,,,,
138,c115,C,past,1,情報・電子・物理,光電効果を説明してください。,物質に光を当てると電子が放出される現象です。電子の最大運動エネルギーは光の強度ではなく周波数で決まり、しきい周波数が存在します。,K_max=hν−φ,,,
139,c015,C,past,1,数学・特殊関数,ガンマ関数とは何ですか？,階乗を実数・複素数へ拡張する関数です。正の実数sに対し Γ(s)=∫₀∞x^(s-1)e^(-x)dx と定義され、正整数nで Γ(n)=(n-1)! となります。,"Γ(s)=∫₀∞x^(s-1)e^(-x)dx,  Γ(n)=(n-1)!",,,
